product_id,category,subcategory,brand,color,pattern,material,season,gender,size_available,original_price,discount_percent,current_price,units_sold,rating,num_reviews,wishlist_adds,page_views,launch_date,last_restock,in_stock,return_rate,trend_score
PROD10000,Outerwear,Cardigan,Zara,Brown,Abstract,Cotton,All Season,Unisex,S-L,105.46,10,94.91,19,4.3,7,21,195,2022-06-11 08:04:21.621801816,2022-08-13 08:04:21.621801816,True,16.9,35.3
PROD10001,Tops,Blouse,Gap,Navy,Solid,Silk,Summer,Unisex,XS-3XL,42.16,0,42.16,94,3.6,32,86,152,2022-05-29 06:39:45.198766564,2022-09-23 06:39:45.198766564,False,19.0,55.1
PROD10002,Tops,Tank Top,H&M,Pink,Solid,Linen,All Season,Men,S-L,25.31,0,25.31,32,3.8,5,8,64,2022-05-25 06:05:18.626552212,2022-08-24 06:05:18.626552212,True,3.5,47.8
PROD10003,Bottoms,Jeans,ASOS,Blue,Abstract,Polyester,Fall,Women,S-L,61.51,20,49.21,62,3.8,2,18,50,2024-02-28 07:24:09.420785064,2024-07-04 07:24:09.420785064,True,31.1,54.0
PROD10004,Shoes,Boots,Mango,Grey,Floral,Synthetic,Winter,Men,XS-XL,154.45,20,123.56,11,3.8,70,6,103,2023-06-12 01:22:41.213434448,2023-10-28 01:22:41.213434448,True,8.3,38.7
PROD10005,Bottoms,Leggings,Uniqlo,Blue,Plaid,Cotton,Fall,Men,XS-XL,48.47,30,33.93,27,3.7,33,38,63,2024-01-24 00:06:07.230602544,2024-03-31 00:06:07.230602544,True,50.0,27.6
PROD10006,Accessories,Hat,Mango,Blue,Solid,Silk,Fall,Men,S-L,46.05,0,46.05,178,3.6,21,233,568,2023-04-24 09:22:43.613634464,2023-06-05 09:22:43.613634464,False,3.2,72.9
PROD10007,Outerwear,Blazer,H&M,Navy,Solid,Synthetic,Winter,Men,36-44,80.29,20,64.23,30,4.1,1,10,351,2022-09-30 02:35:31.977664804,2022-10-25 02:35:31.977664804,False,15.3,49.6
PROD10008,Bottoms,Shorts,Topshop,White,Solid,Linen,Fall,Women,XS-3XL,73.77,20,59.02,4,3.4,5,9,138,2022-03-21 09:58:14.991249271,2022-09-08 09:58:14.991249271,True,13.2,15.9
PROD10009,Tops,Sweater,H&M,White,Animal Print,Cotton,Summer,Women,One Size,32.44,0,32.44,8,3.4,4,117,20,2022-10-05 17:25:53.229435784,2023-01-05 17:25:53.229435784,True,4.4,28.7
PROD10010,Tops,T-Shirt,ASOS,Navy,Abstract,Linen,Spring,Women,S-L,41.74,40,25.04,3,4.7,84,45,94,2022-12-02 23:01:18.906575548,2023-05-29 23:01:18.906575548,True,9.6,44.9
PROD10011,Shoes,Sneakers,H&M,Multi,Solid,Wool,All Season,Women,S-L,104.1,0,104.1,4,4.5,103,8,14,2023-12-03 14:30:18.751562624,2024-03-19 14:30:18.751562624,True,11.4,56.7
PROD10012,Bottoms,Shorts,Gap,Beige,Solid,Linen,Spring,Women,XS-XL,71.17,0,71.17,17,3.6,0,54,465,2024-02-06 21:33:20.866738896,2024-05-02 21:33:20.866738896,True,7.5,43.9
PROD10013,Dresses,Midi Dress,Mango,Blue,Solid,Polyester,Summer,Women,XS-XL,125.47,10,112.92,7,3.6,22,19,226,2024-04-12 17:21:41.208434032,2024-09-29 17:21:41.208434032,True,9.2,47.2
PROD10014,Tops,T-Shirt,Mango,Black,Striped,Leather,Fall,Women,S-L,51.55,0,51.55,73,3.8,11,55,56,2023-10-03 13:29:42.448537376,2024-02-14 13:29:42.448537376,True,12.8,50.1
PROD10015,Shoes,Heels,Zara,Black,Striped,Silk,Summer,Men,XS-3XL,112.97,20,90.38,13,4.0,4,39,101,2024-04-22 05:07:49.539128256,2024-10-06 05:07:49.539128256,True,30.1,47.8
